2021-11-07 06:25:54.181598: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcublas.so.10
Episode: 209, Reward: -55.979, Avg Reward :-58.289, Epsilon:0.3490
Episode: 210, Reward: -87.911, Avg Reward :-58.380, Epsilon:0.3473
Episode: 211, Reward: 179.712, Avg Reward :-55.761, Epsilon:0.3455
Episode: 212, Reward: -86.803, Avg Reward :-56.742, Epsilon:0.3438
Episode: 213, Reward: -114.428, Avg Reward :-57.331, Epsilon:0.3421
Episode: 214, Reward: -75.586, Avg Reward :-56.997, Epsilon:0.3404
Episode: 215, Reward: -122.801, Avg Reward :-57.405, Epsilon:0.3387
Episode: 216, Reward: -17.551, Avg Reward :-56.110, Epsilon:0.3370
Episode: 217, Reward: 45.684, Avg Reward :-56.021, Epsilon:0.3353
Episode: 218, Reward: -18.259, Avg Reward :-55.594, Epsilon:0.3336
Episode: 219, Reward: -156.507, Avg Reward :-56.203, Epsilon:0.3320
Episode: 220, Reward: -2.363, Avg Reward :-54.560, Epsilon:0.3303
Episode: 221, Reward: 28.381, Avg Reward :-53.268, Epsilon:0.3286
Episode: 222, Reward: -28.036, Avg Reward :-51.724, Epsilon:0.3270
Episode: 223, Reward: 36.653, Avg Reward :-51.142, Epsilon:0.3254
Episode: 224, Reward: -129.452, Avg Reward :-52.564, Epsilon:0.3237
Episode: 225, Reward: -43.000, Avg Reward :-52.402, Epsilon:0.3221
Episode: 226, Reward: 16.506, Avg Reward :-51.904, Epsilon:0.3205
Episode: 227, Reward: -0.587, Avg Reward :-51.735, Epsilon:0.3189
Episode: 228, Reward: -2.024, Avg Reward :-52.051, Epsilon:0.3173
Episode: 229, Reward: 5.055, Avg Reward :-50.778, Epsilon:0.3157
Episode: 230, Reward: -44.566, Avg Reward :-51.308, Epsilon:0.3141
Episode: 231, Reward: 21.755, Avg Reward :-50.014, Epsilon:0.3126
Episode: 232, Reward: -56.704, Avg Reward :-49.925, Epsilon:0.3110
Episode: 233, Reward: -16.066, Avg Reward :-49.324, Epsilon:0.3095
Episode: 234, Reward: 13.492, Avg Reward :-49.099, Epsilon:0.3079
Episode: 235, Reward: -14.790, Avg Reward :-48.262, Epsilon:0.3064
Episode: 236, Reward: 25.004, Avg Reward :-46.438, Epsilon:0.3048
Episode: 237, Reward: -135.483, Avg Reward :-47.933, Epsilon:0.3033
Episode: 238, Reward: 2.176, Avg Reward :-47.701, Epsilon:0.3018
Episode: 239, Reward: -31.884, Avg Reward :-47.147, Epsilon:0.3003
Episode: 240, Reward: -25.592, Avg Reward :-44.135, Epsilon:0.2988
Episode: 241, Reward: -5.768, Avg Reward :-44.127, Epsilon:0.2973
Episode: 242, Reward: 87.457, Avg Reward :-42.221, Epsilon:0.2958
Episode: 243, Reward: -8.873, Avg Reward :-39.757, Epsilon:0.2943
Episode: 244, Reward: -163.824, Avg Reward :-40.733, Epsilon:0.2929
Episode: 245, Reward: 4.928, Avg Reward :-39.369, Epsilon:0.2914
Episode: 246, Reward: 9.428, Avg Reward :-39.254, Epsilon:0.2899
Episode: 247, Reward: 17.605, Avg Reward :-38.731, Epsilon:0.2885
Episode: 248, Reward: 29.618, Avg Reward :-38.155, Epsilon:0.2870
Episode: 249, Reward: 18.609, Avg Reward :-36.638, Epsilon:0.2856
Episode: 250, Reward: 68.017, Avg Reward :-35.474, Epsilon:0.2842
Episode: 251, Reward: -41.122, Avg Reward :-35.444, Epsilon:0.2828
Episode: 252, Reward: -46.693, Avg Reward :-34.411, Epsilon:0.2813
Episode: 253, Reward: 8.651, Avg Reward :-34.017, Epsilon:0.2799
Episode: 254, Reward: 20.978, Avg Reward :-33.219, Epsilon:0.2785
Episode: 255, Reward: 10.561, Avg Reward :-33.186, Epsilon:0.2771
Episode: 256, Reward: -158.239, Avg Reward :-34.220, Epsilon:0.2758
Episode: 257, Reward: 175.259, Avg Reward :-31.600, Epsilon:0.2744
Episode: 258, Reward: 100.986, Avg Reward :-28.211, Epsilon:0.2730
Episode: 259, Reward: -1.907, Avg Reward :-28.490, Epsilon:0.2716
Episode: 260, Reward: 46.278, Avg Reward :-27.412, Epsilon:0.2703
Episode: 261, Reward: 30.233, Avg Reward :-26.118, Epsilon:0.2689
Episode: 262, Reward: 3.240, Avg Reward :-25.746, Epsilon:0.2676
Episode: 263, Reward: 107.960, Avg Reward :-24.646, Epsilon:0.2663
Episode: 264, Reward: -44.860, Avg Reward :-25.310, Epsilon:0.2649
Episode: 265, Reward: -225.690, Avg Reward :-26.425, Epsilon:0.2636
Episode: 266, Reward: -20.146, Avg Reward :-25.629, Epsilon:0.2623
Episode: 267, Reward: 96.270, Avg Reward :-23.652, Epsilon:0.2610
Episode: 268, Reward: 19.414, Avg Reward :-23.420, Epsilon:0.2597
Episode: 269, Reward: -97.437, Avg Reward :-23.671, Epsilon:0.2584
Episode: 270, Reward: 39.762, Avg Reward :-23.859, Epsilon:0.2571
Episode: 271, Reward: -33.397, Avg Reward :-23.147, Epsilon:0.2558
Episode: 272, Reward: -13.221, Avg Reward :-22.734, Epsilon:0.2545
Episode: 273, Reward: 20.812, Avg Reward :-21.401, Epsilon:0.2532
Episode: 274, Reward: 9.016, Avg Reward :-20.421, Epsilon:0.2520
Episode: 275, Reward: 32.116, Avg Reward :-19.845, Epsilon:0.2507
Episode: 276, Reward: -13.561, Avg Reward :-18.913, Epsilon:0.2495
Episode: 277, Reward: 35.310, Avg Reward :-18.837, Epsilon:0.2482
Episode: 278, Reward: 116.554, Avg Reward :-16.453, Epsilon:0.2470
Episode: 279, Reward: 97.150, Avg Reward :-14.822, Epsilon:0.2457
Episode: 280, Reward: 15.786, Avg Reward :-13.480, Epsilon:0.2445
Episode: 281, Reward: 89.338, Avg Reward :-12.782, Epsilon:0.2433
Episode: 282, Reward: 24.201, Avg Reward :-14.021, Epsilon:0.2421
Episode: 283, Reward: -30.798, Avg Reward :-14.313, Epsilon:0.2409
Episode: 284, Reward: 100.221, Avg Reward :-13.281, Epsilon:0.2397
Episode: 285, Reward: 109.612, Avg Reward :-11.788, Epsilon:0.2385
Episode: 286, Reward: -10.567, Avg Reward :-11.899, Epsilon:0.2373
Episode: 287, Reward: 27.823, Avg Reward :-11.620, Epsilon:0.2361
Episode: 288, Reward: 4.596, Avg Reward :-9.995, Epsilon:0.2349
Episode: 289, Reward: 10.040, Avg Reward :-8.785, Epsilon:0.2337
Episode: 290, Reward: 2.966, Avg Reward :-9.348, Epsilon:0.2326
Episode: 291, Reward: -6.022, Avg Reward :-7.852, Epsilon:0.2314
Episode: 292, Reward: 26.679, Avg Reward :-8.016, Epsilon:0.2302
Episode: 293, Reward: 40.894, Avg Reward :-7.041, Epsilon:0.2291
Episode: 294, Reward: -12.313, Avg Reward :-6.230, Epsilon:0.2279
Episode: 295, Reward: -28.086, Avg Reward :-6.095, Epsilon:0.2268
Episode: 296, Reward: 10.457, Avg Reward :-4.804, Epsilon:0.2257
Episode: 297, Reward: -52.188, Avg Reward :-4.779, Epsilon:0.2245
Episode: 298, Reward: 70.333, Avg Reward :-3.022, Epsilon:0.2234
Episode: 299, Reward: 38.703, Avg Reward :-2.076, Epsilon:0.2223
Episode: 300, Reward: 102.688, Avg Reward :-1.366, Epsilon:0.2212
Episode: 301, Reward: 78.953, Avg Reward :-0.617, Epsilon:0.2201
Episode: 302, Reward: 39.664, Avg Reward :-0.189, Epsilon:0.2190
Episode: 303, Reward: -43.040, Avg Reward :-0.452, Epsilon:0.2179
Episode: 304, Reward: 57.802, Avg Reward :0.069, Epsilon:0.2168
